+	114							
+	115							
+	538							
+	1794							
+	1928							
+	1935							
+	3034							
+	3758							
+	3834							
+	3850							
+	4735							
+	5129							
+	5181							
+	5183							
+	5348							
+	5569							
+	7890							
+	8883							
+	9112							
+	10962							
+	11112							
+	11190							
+	12067							
+	12484							
+	12486							
+	14067							
+	14092							
+	14914							
+	16285							
+	17599							
+	19612							
+	20788							
+	23563							
+	23868							
+	24670							
+	25027							
+	25628							
+	25636							
+	27579							
+	29121							
+	29245							
+	29632							
+	29685							
+	31078							
+	32057							
+	32680							
+	33227							
+	33940							
+	35716							
+	39302							
+	40251							
+	41307							
+	41385							
+	42737							
+	43562							
+	43672							
+	45660							
+	45671							
+	45743							
+	46021							
+	47404							
+	50564							
+	50578							
+	50999							
+	51622							
+	51816							
+	51981							
+	52716							
+	52810							
+	54697							
+	56835							
+	58117							
+	58538							
+	60083							
+	60136							
+	60285							
+	60286							
+	60346							
+	63809							
+	63872							
+	65678							
+	67728							
+	68420							
+	69435							
+	71606							
+	72958							
+	74189							
+	74921							
+	75254							
+	75255							
+	78734							
+	80240							
+	80624							
+	83251							
+	84005							
+	84845							
+	85123							
+	85190							
+	86462							
+	86499							
+	88014							
+	88166							
+	88712							
+	89072							
+	89246							
+	89278							
+	89536							
+	89538							
+	92206							
+	92828							
+	94550							
+	96981							
+	96992							
+	99374							
+	99622							
+	100518							
+	101096							
+	103776							
+	105268							
+	106954							
+	107291							
+	108297							
+	110206							
+	115473							
+	117714							
+	118829							
+	119226							
+	123625							
+	124799							
+	131340							
+	132756							
+	132914							
+	132915							
+	133845							
+	136142							
+	136143							
+	139704							
+	139707							
+	140960							
+	141172							
+	142180							
+	142314							
+	143894							
+	148635							
+	148748							
+	151075							
+	151085							
+	152323							
+	152814							
+	154603							
+	154705							
+	155667							
+	155741							
+	156252							
+	156452							
+	157830							
+	160276							
+	160869							
+	160978							
+	161395							
+	161635							
+	161768							
+	162023							
+	163308							
+	163537							
+	164784							
+	165142							
+	165294							
+	165296							
+	166064							
+	166910							
+	167105							
+	167572							
+	169306							
+	170485							
+	171214							
+	173231							
+	173700							
+	175373							
+	177586							
+	177735							
+	180465							
+	183581							
+	184231							
+	186429							
+	186720							
+	187971							
+	188027							
+	190140							
+	190607							
+	192070							
+	193117							
+	193671							
+	194917							
+	194918							
+	196305							
+	196463							
