+	95	121
+	98	121
+	401	496
+	707	796
-	740	669
-	864	652
-	866	846
+	884	955
+	3380	3427
+	3408	3443
-	8993	8337
+	10507	10638
+	11215	11244
+	11256	11303
+	11784	11789
+	12643	12690
+	13631	13648
-	13696	13610
-	13717	13610
-	18140	18093
+	20878	20940
+	20880	21092
-	23273	23169
-	25143	24985
+	25257	25421
-	25525	25514
-	26799	26779
-	29747	29676
-	29751	29566
-	33914	33900
+	34200	34358
-	42338	42207
-	42781	42356
+	44083	44454
-	46104	45853
+	51051	51140
+	51166	51231
+	53115	53189
+	60218	60238
+	60323	60409
+	60535	60642
+	62140	62163
+	62776	62796
+	63022	63069
-	63298	63158
-	64129	64043
-	64132	64043
+	64219	64344
-	64231	64178
-	64516	64505
-	65058	64954
-	65132	65085
-	65186	65085
-	65188	65012
-	65350	65012
-	68425	68096
+	68436	68579
+	69317	69469
-	78784	78767
-	79045	78896
-	80162	80148
+	85248	85364
+	89546	89551
+	100602	100721
-	112192	112172
+	117540	117632
-	117582	117508
+	125567	125842
+	135962	135982
+	137737	137742
+	139956	140144
+	140399	140569
+	154179	154235
-	155782	155681
+	161626	161649
-	167277	167251
+	167482	167571
+	170810	170881
+	170897	170965
+	170939	170965
+	170942	170965
+	170957	170965
+	175710	175718
-	177046	176909
+	178774	178782
+	180109	180195
+	180112	180195
+	183611	183625
+	184370	184387
-	185086	185081
+	187426	187482
+	187851	187856
+	188041	188058
-	193205	192990
+	193781	193804
+	195357	195371
-	196613	196554
+	196686	196754
+	196688	196864
+	196812	196850
-	202762	202745
+	202774	202788
-	203147	203142
-	204702	204583
-	206017	205991
+	207016	207270
+	209473	209493
+	211247	211333
+	211463	211489
+	214131	214319
-	217947	217927
-	217978	217445
-	218451	218260
-	218512	218390
-	218536	218390
-	219484	219296
-	219504	219151
-	221820	221776
+	235716	235991
-	237175	236921
-	247493	247398
+	247499	247576
+	252675	252773
+	255190	255312
+	255289	255312
+	256071	256103
-	261114	260962
-	261117	260962
+	263065	263289
+	264182	264205
+	265316	265345
-	272955	272851
+	274940	275059
+	275175	275180
+	281650	281664
+	289083	289094
+	293647	293763
+	295753	295758
+	295755	295781
+	296721	296732
-	297811	297725
-	297892	297839
-	299889	299881
-	300868	300770
-	301059	300814
-	301090	301079
-	301763	301656
